Expert,Node
0,2
1,2
2,1
3,2
4,2
5,2
6,3
7,3
8,2
9,1
10,1
11,0
12,3
13,0
14,0
15,3
16,0
17,0
18,1
19,2
20,1
21,1
22,0
23,2
24,0
25,0
26,2
27,1
28,2
29,2
30,0
31,3
32,3
33,1
34,0
35,1
36,1
37,3
38,2
39,2
40,3
41,3
42,0
43,3
44,0
45,3
46,0
47,3
48,1
49,1
50,1
51,3
52,3
53,3
54,0
55,2
56,1
57,2
58,3
59,0
60,2
61,1
62,1
63,0
64,1
65,0
66,2
67,0
68,2
69,1
70,0
71,3
72,0
73,0
74,0
75,1
76,1
77,3
78,0
79,3
80,2
81,0
82,1
83,3
84,1
85,2
86,3
87,3
88,1
89,2
90,1
91,3
92,2
93,3
94,0
95,2
96,1
97,3
98,2
99,0
100,1
101,1
102,3
103,1
104,0
105,1
106,2
107,3
108,2
109,2
110,0
111,0
112,2
113,0
114,3
115,0
116,2
117,2
118,3
119,3
120,1
121,3
122,2
123,1
124,2
125,0
126,1
127,3
128,1
129,2
130,2
131,0
132,2
133,3
134,3
135,2
136,2
137,0
138,0
139,0
140,3
141,2
142,1
143,1
144,3
145,0
146,1
147,0
148,3
149,0
150,2
151,0
152,3
153,3
154,1
155,3
156,3
157,2
158,0
159,1
160,2
161,1
162,0
163,1
164,3
165,3
166,2
167,0
168,1
169,0
170,2
171,2
172,2
173,3
174,3
175,0
176,2
177,2
178,1
179,1
180,0
181,1
182,0
183,3
184,1
185,3
186,2
187,1
188,1
189,1
190,3
191,0
192,1
193,1
194,2
195,3
196,3
197,3
198,2
199,0
200,2
201,1
202,1
203,3
204,3
205,0
206,2
207,0
208,0
209,3
210,2
211,2
212,2
213,3
214,3
215,1
216,0
217,3
218,0
219,0
220,3
221,1
222,3
223,3
224,0
225,3
226,2
227,2
228,0
229,1
230,3
231,1
232,1
233,1
234,2
235,0
236,1
237,0
238,2
239,1
240,2
241,3
242,0
243,0
244,0
245,1
246,2
247,0
248,2
249,1
250,1
251,3
252,2
253,0
254,1
255,2
256,3
257,3
258,2
259,3
260,0
261,0
262,0
263,1
264,1
265,3
266,3
267,1
268,2
269,2
270,3
271,2
272,0
273,0
274,2
275,0
276,2
277,1
278,1
279,0
280,2
281,0
282,3
283,1
284,0
285,2
286,3
287,3
288,1
289,0
290,3
291,2
292,0
293,1
294,1
295,0
296,3
297,3
298,2
299,1
300,0
301,1
302,1
303,1
304,1
305,2
306,0
307,0
308,0
309,2
310,3
311,1
312,3
313,2
314,2
315,1
316,3
317,2
318,2
319,3
320,2
321,0
322,1
323,3
324,3
325,0
326,2
327,0
328,0
329,1
330,1
331,2
332,2
333,0
334,1
335,1
336,2
337,0
338,3
339,1
340,2
341,0
342,2
343,2
344,3
345,2
346,3
347,3
348,3
349,1
350,0
351,2
352,1
353,0
354,0
355,0
356,0
357,3
358,3
359,3
360,1
361,3
362,2
363,2
364,1
365,3
366,0
367,1
368,0
369,0
370,0
371,3
372,3
373,1
374,2
375,2
376,1
377,1
378,1
379,1
380,3
381,2
382,2
383,3
384,3
385,0
386,0
387,1
388,3
389,1
390,3
391,1
392,0
393,3
394,1
395,1
396,0
397,0
398,1
399,0
400,2
401,3
402,3
403,3
404,2
405,0
406,3
407,2
408,1
409,2
410,1
411,3
412,0
413,1
414,0
415,3
416,1
417,3
418,3
419,0
420,0
421,2
422,2
423,2
424,1
425,3
426,1
427,2
428,3
429,1
430,2
431,0
432,2
433,1
434,1
435,0
436,2
437,0
438,1
439,2
440,3
441,2
442,3
443,2
444,2
445,0
446,2
447,0
448,2
449,0
450,2
451,1
452,0
453,1
454,0
455,0
456,2
457,3
458,0
459,0
460,0
461,2
462,2
463,0
464,1
465,3
466,3
467,1
468,0
469,0
470,0
471,3
472,3
473,0
474,1
475,3
476,2
477,2
478,2
479,0
480,3
481,3
482,3
483,0
484,3
485,3
486,2
487,3
488,0
489,1
490,1
491,3
492,1
493,1
494,2
495,3
496,1
497,1
498,2
499,2
500,2
501,3
502,1
503,2
504,3
505,1
506,1
507,1
508,1
509,2
510,0
511,2
512,3
513,2
514,1
515,2
516,1
517,2
518,0
519,1
520,3
521,2
522,0
523,0
524,3
525,3
526,0
527,3
528,2
529,3
530,3
531,0
532,0
533,1
534,1
535,1
536,3
537,0
538,3
539,0
540,1
541,0
542,0
543,0
544,0
545,1
